Date,Prev_Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable_Volume,Perc_Deliverable,Year_N
21-06-2005,1295.9,1300,1312.4,1283.3,1305.1,1303.57,1307943,1.70E+14,667233,0.5101,2
22-06-2005,1305.1,1309,1339,1309,1333.35,1327.29,1442172,1.91E+14,805844,0.5588,2
23-06-2005,1333.35,1330,1337.75,1305,1307.4,1314.97,459618,6.04E+13,158510,0.3449,2
24-06-2005,1307.4,1300,1338.3,1295,1325.75,1322.36,752665,9.95E+13,340805,0.4528,2
27-06-2005,1325.75,1319.7,1333,1308,1316.45,1324.23,443516,5.87E+13,207079,0.4669,2
28-06-2005,1316.45,1318,1328,1314.05,1323.55,1320.72,722014,9.54E+13,377210,0.5224,2
29-06-2005,1323.55,1325,1357.95,1322.15,1332.55,1337.75,805830,1.08E+14,340122,0.4221,2
30-06-2005,1332.55,1338.8,1365,1338.8,1358.1,1351.43,898625,1.21E+14,423826,0.4716,2
01-07-2005,1358.1,1350,1356.7,1340.35,1352.4,1350.38,602571,8.14E+13,317474,0.5269,2
04-07-2005,1352.4,1358.8,1371.9,1331,1359.05,1348.27,493956,6.66E+13,206263,0.4176,2
05-07-2005,1359.05,1369.75,1369.75,1312.6,1320.2,1336.1,648422,8.66E+13,239439,0.3693,2
06-07-2005,1320.2,1326,1332.6,1316.15,1323.1,1323.95,382152,5.06E+13,115823,0.3031,2
07-07-2005,1323.1,1323.1,1340,1303.25,1309.65,1322.15,436111,5.77E+13,164116,0.3763,2
08-07-2005,1309.65,1310.6,1329.4,1293.55,1311.1,1311.16,761000,9.98E+13,417614,0.5488,2
11-07-2005,1311.1,1311.1,1330,1311.1,1326.05,1322.13,473908,6.27E+13,263050,0.5551,2
12-07-2005,1326.05,1318.6,1321,1272.3,1285.9,1291.25,768825,9.93E+13,338519,0.4403,2
13-07-2005,1285.9,1285,1300,1267,1270.75,1277.04,808730,1.03E+14,449193,0.5554,2
14-07-2005,1270.75,1278.65,1287.7,1216.35,1225,1237.05,1107551,1.37E+14,564100,0.5093,2
15-07-2005,1225,1231,1261.9,1215.05,1248.45,1244.22,1167715,1.45E+14,361591,0.3097,2
18-07-2005,1248.45,1252,1479,1252,1322.2,1327.03,1809451,2.40E+14,771766,0.4265,2
19-07-2005,1322.2,1348.4,1358,1260,1319.15,1321.68,584718,7.73E+13,222708,0.3809,2
20-07-2005,1319.15,1335,1335,1305.15,1308.25,1316.11,436788,5.75E+13,129397,0.2962,2
21-07-2005,1308.25,1321,1321,1280,1290.3,1297.22,524873,6.81E+13,172164,0.328,2
22-07-2005,1290.3,1285,1297.85,1270.4,1293.95,1289.02,647412,8.35E+13,298323,0.4608,2
25-07-2005,1293.95,1296.6,1302.35,1275.2,1284.35,1283.63,679128,8.72E+13,399035,0.5876,2
26-07-2005,1284.35,1285.85,1292,1260,1265.25,1273.21,653710,8.32E+13,339903,0.52,2
27-07-2005,1265.25,1265,1288,1265,1284.5,1278.87,324676,4.15E+13,144932,0.4464,2
29-07-2005,1284.5,1275,1290,1262,1268.8,1273.47,1044819,1.33E+14,652921,0.6249,2
01-08-2005,1268.8,1267,1275,1242.65,1252.2,1253.89,678849,8.51E+13,466292,0.6869,2
02-08-2005,1252.2,1292,1298,1258,1290.3,1284.88,602690,7.74E+13,313706,0.5205,2
