Date,Prev_Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable_Volume,Perc_Deliverable
02-11-2006,1009.25,1008,1018.65,995.15,1002.5,1007.43,1094928,1.10E+14,127764,0.1167
03-11-2006,1002.5,1004,1005,985,992,994.16,712543,7.08E+13,118608,0.1665
06-11-2006,992,1000,1021,983,998.3,1006.11,870738,8.76E+13,119675,0.1374
07-11-2006,998.3,1013.7,1014.4,987.25,990.95,1001.47,508981,5.10E+13,101652,0.1997
08-11-2006,990.95,998.6,1005,969,990.7,988.73,823820,8.15E+13,96930,0.1177
09-11-2006,990.7,1002,1002.8,982,987.6,990.76,472117,4.68E+13,78912,0.1671
10-11-2006,987.6,994.4,1031,975,999.35,1008.1,1328121,1.34E+14,214853,0.1618
13-11-2006,999.35,1000,1016.85,994.5,1005.75,1006.72,634151,6.38E+13,115715,0.1825
14-11-2006,1005.75,1010,1015,991.15,996.15,1002.64,591832,5.93E+13,135443,0.2289
15-11-2006,996.15,1000,1089.8,997.5,1073.6,1045.33,2710703,2.83E+14,498259,0.1838
16-11-2006,1073.6,1075.05,1166.6,1062.2,1152.95,1128.13,4209108,4.75E+14,433751,0.1031
17-11-2006,1152.95,1160,1177.7,1098,1115.1,1135.35,2057344,2.34E+14,308899,0.1501
20-11-2006,1115.1,1100,1148.8,1060.4,1139.1,1105.74,1813833,2.01E+14,180630,0.0996
21-11-2006,1139.1,1130.65,1209.7,1130.65,1182.35,1184.93,1827651,2.17E+14,247571,0.1355
22-11-2006,1182.35,1187,1199.75,1168.5,1174.5,1184.05,853962,1.01E+14,147492,0.1727
23-11-2006,1174.5,1185,1185,1140.2,1149.7,1162.18,624661,7.26E+13,157421,0.252
24-11-2006,1149.7,1101.05,1182.2,1101.05,1140.9,1158.05,811845,9.40E+13,125519,0.1546
27-11-2006,1140.9,1143.6,1149.95,1116.7,1127.05,1131.87,407183,4.61E+13,98198,0.2412
28-11-2006,1127.05,1119.95,1152,1075.3,1116.3,1128.22,779057,8.79E+13,128249,0.1646
29-11-2006,1116.3,1125,1149,1117.2,1124.9,1135.09,413684,4.70E+13,53025,0.1282
30-11-2006,1124.9,1130.7,1137,1112.1,1122.5,1124.92,243525,2.74E+13,59419,0.244
01-12-2006,1122.5,1130,1146.5,1113.1,1120.25,1131.23,297972,3.37E+13,56548,0.1898
04-12-2006,1120.25,1125,1137.7,1110.2,1112.75,1121.37,291061,3.26E+13,83163,0.2857
05-12-2006,1112.75,1113.5,1176.7,1105,1166.5,1151.52,1088879,1.25E+14,240328,0.2207
06-12-2006,1166.5,1175,1192,1126.3,1136.25,1155.51,1006277,1.16E+14,162781,0.1618
07-12-2006,1136.25,1135,1170.5,1125.25,1139.95,1149.09,930888,1.07E+14,108049,0.1161
08-12-2006,1139.95,1150,1150,1122.2,1125.7,1133.13,374383,4.24E+13,83290,0.2225
11-12-2006,1125.7,1138.7,1146,1074.1,1096,1111.95,642819,7.15E+13,135646,0.211
12-12-2006,1096,1100,1122,1014,1041.75,1080.25,777591,8.40E+13,134494,0.173
13-12-2006,1041.75,1046,1093.8,1010.1,1080.7,1054.44,495712,5.23E+13,96029,0.1937
14-12-2006,1080.7,1091,1133.7,1083,1109.4,1111.83,544625,6.06E+13,126600,0.2325
15-12-2006,1109.4,1116,1141.7,1040,1130.7,1129.92,408960,4.62E+13,96725,0.2365
18-12-2006,1130.7,1142.4,1204,1120.3,1194.55,1169.15,1304823,1.53E+14,309124,0.2369
19-12-2006,1194.55,1200,1220,1142.6,1154.3,1189.73,1682253,2.00E+14,328771,0.1954
20-12-2006,1154.3,1170,1285,1151.05,1243,1230.91,2989087,3.68E+14,551274,0.1844
21-12-2006,1243,1250,1491.6,1250,1491.6,1414.97,3786564,5.36E+14,822943,0.2173
22-12-2006,1491.6,1510,1748.7,1510,1655.5,1678.98,5223871,8.77E+14,450564,0.0863
26-12-2006,1655.5,1649.95,1720,1649.95,1668.6,1681.36,1713876,2.88E+14,181554,0.1059
